"Code";"Hero";"Red";"Green";"Blue"
"20181023-184920";"BOOMER";0.784313725490196;0.623529411764706;0.380392156862745
"20181023-184920";"LIA";0.827450980392157;0.654901960784314;0.407843137254902
"20181023-211314";"BOOMER";0.827450980392157;0.647058823529412;0.345098039215686
"20181023-211314";"REDROH";0.796078431372549;0.631372549019608;0.396078431372549
"20181023-222411";"UNO";0.803921568627451;0.63921568627451;0.403921568627451
"20181023-222411";"KIND";0.807843137254902;0.63921568627451;0.333333333333333
"20181023-232704";"HILT";0.725490196078431;0.815686274509804;0.215686274509804
"20181023-232704";"TAM";0.827450980392157;0.654901960784314;0.407843137254902
"20181024-002945";"BOOMER";0.8;0.654901960784314;0.341176470588235
"20181024-002945";"REDROH";0.819607843137255;0.627450980392157;0.368627450980392
"20181024-072326";"HANDSUM";0.811764705882353;0.63921568627451;0.392156862745098
"20181024-072326";"SAM";0.698039215686274;0.784313725490196;0.215686274509804
"20181024-091324";"TAM";0.803921568627451;0.643137254901961;0.392156862745098
"20181024-091324";"HILT";0.807843137254902;0.627450980392157;0.384313725490196
"20181024-101534";"VEXX";0.803921568627451;0.643137254901961;0.392156862745098
"20181024-101534";"KIND";0.807843137254902;0.63921568627451;0.333333333333333
"20181024-111620";"BOOMER";0.8;0.654901960784314;0.341176470588235
"20181024-111620";"UNO";0.792156862745098;0.635294117647059;0.392156862745098
"20181024-121842";"HILT";0.698039215686274;0.796078431372549;0.196078431372549
"20181024-121842";"HILT";0.807843137254902;0.631372549019608;0.376470588235294
"20181024-140837";"UNO";0.784313725490196;0.607843137254902;0.376470588235294
"20181024-140837";"BOOMER";0.827450980392157;0.650980392156863;0.419607843137255
"20181024-152408";"SAM";0.8;0.643137254901961;0.411764705882353
"20181024-152408";"NANNA";0.803921568627451;0.631372549019608;0.384313725490196
"20181024-162216";"BOOMER";0.803921568627451;0.63921568627451;0.411764705882353
"20181024-162216";"HILT";0.807843137254902;0.627450980392157;0.384313725490196
"20181024-173027";"KIND";0.694117647058824;0.788235294117647;0.2
"20181024-173027";"VEXX";0.705882352941177;0.796078431372549;0.207843137254902
"20181024-183319";"LIA";0.725490196078431;0.815686274509804;0.215686274509804
"20181024-183319";"KIND";0.827450980392157;0.654901960784314;0.407843137254902
"20181024-204218";"V";0.709803921568627;0.8;0.211764705882353
"20181024-204218";"LIA";0.803921568627451;0.631372549019608;0.392156862745098
"20181024-214527";"BELLYLARF";0.807843137254902;0.647058823529412;0.396078431372549
"20181024-214527";"HILT";0.0470588235294118;0.584313725490196;0.858823529411765
"20181024-235137";"WENDLE";0.803921568627451;0.643137254901961;0.384313725490196
"20181024-235137";"KIND";0.807843137254902;0.627450980392157;0.384313725490196
"20181025-083843";"BELLYLARF";0.705882352941177;0.796078431372549;0.2
"20181025-083843";"BELLYLARF";0.698039215686274;0.788235294117647;0.2
"20181025-094831";"TAM";0.811764705882353;0.63921568627451;0.392156862745098
"20181025-094831";"KIND";0.705882352941177;0.784313725490196;0.207843137254902
"20181025-105028";"REDROH";0.803921568627451;0.643137254901961;0.392156862745098
"20181025-105028";"VEXX";0.807843137254902;0.627450980392157;0.384313725490196
"20181025-115623";"KIND";0.803921568627451;0.643137254901961;0.392156862745098
"20181025-115623";"UNO";0.831372549019608;0.623529411764706;0.356862745098039
"20181025-125734";"SAM";0.807843137254902;0.63921568627451;0.423529411764706
"20181025-125734";"V";0.807843137254902;0.627450980392157;0.392156862745098
"20181025-140427";"VEXX";0.803921568627451;0.643137254901961;0.392156862745098
"20181025-140427";"SAM";0.694117647058824;0.772549019607843;0.250980392156863
"20181025-151304";"BELLYLARF";0.705882352941177;0.796078431372549;0.207843137254902
"20181025-151304";"SAM";0.792156862745098;0.631372549019608;0.388235294117647
"20181025-161510";"LIA";0.776470588235294;0.611764705882353;0.384313725490196
"20181025-161510";"TAM";0.827450980392157;0.654901960784314;0.407843137254902
"20181025-171901";"HANDSUM";0.815686274509804;0.643137254901961;0.396078431372549
"20181025-171901";"REDROH";0.701960784313725;0.780392156862745;0.188235294117647
"20181025-200114";"LIA";0.709803921568627;0.807843137254902;0.207843137254902
"20181025-200114";"UNO";0.690196078431373;0.780392156862745;0.192156862745098
"20181025-213404";"WENDLE";0.811764705882353;0.63921568627451;0.384313725490196
"20181025-213404";"TAM";0.807843137254902;0.631372549019608;0.376470588235294
"20181025-232536";"WENDLE";0.811764705882353;0.647058823529412;0.356862745098039
"20181025-232536";"HILT";0.705882352941177;0.792156862745098;0.215686274509804
"20181026-002758";"BOOMER";0.8;0.654901960784314;0.341176470588235
"20181026-002758";"HILT";0.807843137254902;0.627450980392157;0.384313725490196
"20181026-083031";"HANDSUM";0.705882352941177;0.796078431372549;0.207843137254902
"20181026-083031";"UNO";0.690196078431373;0.784313725490196;0.203921568627451
"20181026-093058";"BELLYLARF";0.811764705882353;0.63921568627451;0.392156862745098
"20181026-093058";"NANNA";0.807843137254902;0.631372549019608;0.376470588235294
"20181026-103325";"SAM";0.803921568627451;0.643137254901961;0.392156862745098
"20181026-103325";"SAM";0.694117647058824;0.772549019607843;0.247058823529412
"20181026-115005";"BOOMER";0.701960784313725;0.796078431372549;0.207843137254902
"20181026-115005";"REDROH";0.807843137254902;0.627450980392157;0.384313725490196
"20181026-125752";"REDROH";0.803921568627451;0.643137254901961;0.4
"20181026-125752";"KIND";0.807843137254902;0.635294117647059;0.341176470588235
"20181026-135857";"WENDLE";0.811764705882353;0.63921568627451;0.384313725490196
"20181026-135857";"VEXX";0.807843137254902;0.631372549019608;0.376470588235294
"20181026-150034";"VEXX";0.807843137254902;0.647058823529412;0.396078431372549
"20181026-150034";"REDROH";0.819607843137255;0.627450980392157;0.368627450980392
"20181026-160704";"LIA";0.807843137254902;0.647058823529412;0.396078431372549
