"Code";"Item";"Value"
"20181130-160509";"Scraps";41
"20181130-173704";"Tokens";14
"20181130-173704";"Scraps";38
"20181201-094930";"Tokens";9
"20181201-094930";"Scraps";38
"20181201-110628";"Tokens";9
"20181201-110628";"Scraps";58
"20181201-120752";"Tokens";6
"20181201-120752";"Scraps";23
"20181201-130859";"Tokens";10
"20181201-130859";"Scraps";31
"20181201-142715";"Tokens";13
"20181201-142715";"Scraps";23
"20181201-182648";"Tokens";14
"20181201-182648";"Scraps";22
"20181202-102156";"Tokens";8
"20181202-102156";"Scraps";35
"20181202-114228";"Tokens";6
"20181202-114228";"Scraps";52
"20181202-173450";"Tokens";8
"20181202-173450";"Scraps";56
"20181202-195547";"Tokens";9
"20181202-195547";"Scraps";36
"20181202-234424";"Tokens";11
"20181202-234424";"Scraps";44
"20181203-085622";"Tokens";12
"20181203-085622";"Scraps";44
"20181203-095746";"Tokens";12
"20181203-095746";"Scraps";53
"20181203-105936";"Tokens";9
"20181203-105936";"Scraps";31
"20181203-120619";"Tokens";14
"20181203-120619";"Scraps";55
"20181203-132357";"Tokens";6
"20181203-132357";"Scraps";32
"20181203-151256";"Tokens";9
"20181203-151256";"Scraps";36
"20181203-161403";"Tokens";10
"20181203-161403";"Scraps";46
"20181203-222509";"Tokens";14
"20181203-222509";"Scraps";38
"20181203-232721";"Tokens";11
"20181203-232721";"Scraps";51
"20181204-094604";"Tokens";10
"20181204-094604";"Scraps";52
"20181204-121054";"Tokens";7
"20181204-121054";"Scraps";23
"20181204-131437";"Tokens";11
"20181204-131437";"Scraps";50
"20181204-143720";"Tokens";6
"20181204-143720";"Scraps";40
"20181204-153736";"Tokens";8
"20181204-153736";"Scraps";47
"20181204-164204";"Tokens";14
"20181204-164204";"Scraps";38
"20181204-174514";"Tokens";12
"20181204-174514";"Scraps";25
"20181204-205311";"Tokens";9
"20181204-205311";"Scraps";39
"20181204-220338";"Tokens";14
"20181204-220338";"Scraps";32
"20181204-231603";"Tokens";11
"20181204-231603";"Scraps";50
"20181205-085045";"Tokens";10
"20181205-085045";"Scraps";22
"20181205-100049";"Tokens";5
"20181205-100049";"Scraps";57
"20181205-110242";"Tokens";14
"20181205-110242";"Scraps";50
"20181205-120743";"Tokens";12
"20181205-120743";"Scraps";40
"20181205-130949";"Tokens";13
"20181205-130949";"Scraps";29
"20181205-225037";"Tokens";6
"20181205-225037";"Scraps";56
"20181206-083802";"Tokens";10
"20181206-083802";"Scraps";47
"20181206-103214";"Tokens";11
"20181206-103214";"Scraps";48
"20181206-115836";"Tokens";12
"20181206-115836";"Scraps";45
"20181206-141327";"Tokens";11
"20181206-141327";"Scraps";28
"20181206-153732";"Tokens";5
"20181206-153732";"Scraps";36
"20181206-171920";"Tokens";11
"20181206-171920";"Scraps";29
"20181206-210036";"Tokens";10
"20181206-210036";"Scraps";50
"20181206-220221";"Tokens";8
"20181206-220221";"Scraps";39
"20181206-230334";"Tokens";11
"20181206-230334";"Scraps";21
"20181207-115923";"Tokens";9
"20181207-115923";"Scraps";48
"20181207-154134";"Tokens";11
"20181207-154134";"Scraps";39
"20181207-164623";"Tokens";12
"20181207-164623";"Scraps";42
"20181207-174952";"Tokens";12
"20181207-174952";"Scraps";26
"20181207-185520";"Tokens";12
"20181207-185520";"Scraps";45
"20181207-210920";"Tokens";14
"20181207-210920";"Scraps";21
"20181207-221253";"Tokens";8
"20181207-221253";"Scraps";54
