"Code";"Item";"Value"
"20181030-113420";"Scraps";32
"20181030-124735";"Tokens";12
"20181030-124735";"Scraps";28
"20181030-134835";"Tokens";11
"20181030-134835";"Scraps";43
"20181030-153245";"Tokens";14
"20181030-153245";"Scraps";50
"20181030-163337";"Tokens";14
"20181030-163337";"Scraps";44
"20181030-175936";"Tokens";8
"20181030-175936";"Scraps";31
"20181030-190650";"Tokens";10
"20181030-190650";"Scraps";43
"20181030-201039";"Tokens";12
"20181030-201039";"Scraps";55
"20181030-211347";"Tokens";9
"20181030-211347";"Scraps";25
"20181030-221802";"Tokens";8
"20181030-221802";"Scraps";39
"20181030-233526";"Tokens";10
"20181030-233526";"Scraps";27
"20181031-084831";"Tokens";7
"20181031-084831";"Scraps";46
"20181031-095250";"Tokens";13
"20181031-095250";"Scraps";30
"20181031-105335";"Tokens";10
"20181031-105335";"Scraps";43
"20181031-115524";"Tokens";12
"20181031-115524";"Scraps";45
"20181031-140121";"Tokens";11
"20181031-140121";"Scraps";36
"20181031-150231";"Tokens";8
"20181031-150231";"Scraps";25
"20181031-160916";"Tokens";9
"20181031-160916";"Scraps";35
"20181031-171203";"Tokens";8
"20181031-171203";"Scraps";55
"20181031-181228";"Tokens";8
"20181031-181228";"Scraps";30
"20181031-204144";"Tokens";13
"20181031-204144";"Scraps";58
"20181031-214212";"Tokens";5
"20181031-214212";"Scraps";38
"20181031-224245";"Tokens";10
"20181031-224245";"Scraps";25
"20181031-234550";"Tokens";10
"20181031-234550";"Scraps";27
"20181101-005317";"Tokens";6
"20181101-005317";"Scraps";34
"20181101-102745";"Tokens";6
"20181101-102745";"Scraps";44
"20181101-112917";"Tokens";11
"20181101-112917";"Scraps";38
"20181101-134226";"Tokens";10
"20181101-134226";"Scraps";59
"20181101-162758";"Tokens";6
"20181101-162758";"Scraps";48
"20181101-200005";"Tokens";7
"20181101-200005";"Scraps";51
"20181101-211822";"Tokens";11
"20181101-211822";"Scraps";47
"20181101-224535";"Tokens";8
"20181101-224535";"Scraps";53
"20181102-081556";"Tokens";9
"20181102-081556";"Scraps";34
"20181102-091727";"Tokens";6
"20181102-091727";"Scraps";23
"20181102-102301";"Tokens";5
"20181102-102301";"Scraps";53
"20181102-112428";"Tokens";6
"20181102-112428";"Scraps";44
"20181102-122445";"Tokens";12
"20181102-122445";"Scraps";59
"20181102-140426";"Tokens";14
"20181102-140426";"Scraps";52
"20181102-150824";"Tokens";5
"20181102-150824";"Scraps";58
"20181102-181308";"Tokens";14
"20181102-181308";"Scraps";51
"20181102-201356";"Tokens";12
"20181102-201356";"Scraps";28
"20181102-211436";"Tokens";6
"20181102-211436";"Scraps";55
"20181102-223230";"Tokens";5
"20181102-223230";"Scraps";48
"20181102-233654";"Tokens";12
"20181102-233654";"Scraps";21
"20181103-071929";"Tokens";14
"20181103-071929";"Scraps";41
"20181103-095715";"Tokens";9
"20181103-095715";"Scraps";44
"20181103-110219";"Tokens";12
"20181103-110219";"Scraps";49
"20181103-121223";"Tokens";14
"20181103-121223";"Scraps";29
"20181103-140623";"Tokens";13
"20181103-140623";"Scraps";25
"20181103-163329";"Tokens";6
"20181103-163329";"Scraps";22
"20181103-180031";"Tokens";7
"20181103-180031";"Scraps";42
